Address,Zip,Phone,zip_final
113 JAMES ST,88203946,NA,88203
300 MEADOWMONT VILLAGE CIR,275177518,9199678052,27517
HARRIS SMITH OB/GYN,275177518,9199678052,27517
1000 TRENT DR,277100001,9196848111,27710
40 DUKE MEDICINE CIR,277104000,9196848111,27710
100 RETREAT AVE,61062528,NA,61062
1104E STATE HWY 152,730645116,4055633998,73064
100 WOODS RD,105951530,NA,10595
3181 SW SAM JACKSON PARK RD,972393011,NA,97239
3303 SW BOND AVE,972394501,NA,97239
200 STRAHL ST,370643556,6157911103,37064
219 S WALNUT ST,199631957,NA,19963
804 S DUPONT BLVD,199632233,3024300867,19963
275 W MACARTHUR BLVD,946115641,5107521000,94611
901 NEVIN AVE,948013143,5103071500,94801
1504 TAUB LOOP,770301608,7138732000,77030
100 E 77TH ST,100751850,2124342140,10075
600 MAMARONECK AVE,105281635,9147238100,10528
259 HEATHCOTE RD,105834523,9147238100,10583
1399 ROXBURY DR,900354709,3105779896,90035
757 WESTWOOD PLZ,900958358,3102679643,90095
757 WESTWOOD PLZ,900958358,3102679643,90095
2020 SANTA MONICA BLVD,904042023,3104582381,90404
925 CHESTNUT ST,191074204,NA,19107
925 CHESTNUT ST,191074216,2159558874,19107
1015 CHESTNUT ST,191074310,NA,19107
111 S 11TH ST,191074824,NA,19107
834 WALNUT ST,191075109,NA,19107
2301 S BROAD ST,191483542,2159527444,19148
1959 NE PACIFIC ST,981950001,2065984333,98195
428 COLUMBUS AVE,65191233,2035033228,65191
700 BROADWAY,468021402,2604322297,46802
7900 W JEFFERSON BLVD,468044128,NA,46804
7916 W JEFFERSON BLVD,468044140,2604322297,46804
7938 W JEFFERSON BLVD,468044140,2604368583,46804
7950 W JEFFERSON BLVD,468044140,NA,46804
2516 E DUPONT RD,468251608,2604346076,46825
2520 E DUPONT RD,468251675,2604322297,46825
1020 W BROADWAY AVE,554112504,6123028200,55411
500 HARVARD ST SE,554550363,NA,55455
909 FULTON ST SE,554554800,NA,55455
2422 LAKE AVE,440044954,NA,44004
13207 RAVENNA RD,440247032,NA,44024
890 W MAIN ST,440411219,NA,44041
8587 E AVE,440604301,NA,44060
7590 AUBURN RD,440779176,NA,44077
660 S EUCLID CAMPUS BOX,631101010,3122730500,63110
75 FRANCIS ST,21156110,6177325500,21156
1 MEDICAL CTR BLVD,190133902,6108741253,19013
7500 MERCY RD,681242319,4023985580,68124
7500 MERCY RD,681242319,4024494847,68124
16909 LAKESIDE HILLS CT,681304661,NA,68130
1275 YORK AVE,100656094,2126392000,10065
1611 NW 12 AVE,331361005,3052437618,33136
500 UNIVERSITY DR,170332360,7175318202,17033
22101 MOROSS RD,482362148,NA,48236
22101 MOROSS RD,482362148,3133434000,48236
19251 MACK AVE,482362898,3133437280,48236
150 E SONTERRA BLVD,782584022,2104812800,78258
43 NEW SCOTLAND AVE,122083412,5182623277,12208
47 NEW SCOTLAND AVE,122083412,NA,12208
8901 W DODGE RD,681143300,4027585240,68114
17030 LAKESIDE HILLS PLZ,681302396,4027585240,68130
7121 STEPHANIE LN,685165324,4024848383,68516
2620 W FAIDLEY AVE,688034205,3083844600,68803
10 E 31ST ST,688472926,3088657100,68847
10060 REGENCY CIRCLE,681143727,4023541570,68114
800 MERCY DR,515033128,7123285000,51503
933 E PIERCE ST,515034626,7123966000,51503
77 RAND RD,600161005,8472945490,60016
214 MCHENRY RD,600896748,8474591160,60089
4025 N WESTERN AVE,606183726,7732757700,60618
5308 N BROADWAY ST,606402312,7737842822,60640
1460 N HALSTED ST,606422607,7738800320,60642
1357 W 103RD ST,606432392,7732380800,60643
200 W ARBOR DR,921033109,8586577000,92103
707 NO 190 PLZ,680223974,4028154000,68022
8301 DODGE ST,681144108,4029555400,68114
8303 DODGE ST,681144108,4023544000,68114
8111 DODGE ST,681144119,4029346504,68114
1870 NO 75 ST,681241700,4023615758,68124
111 COLCHESTER AVE,54011473,8028470000,54011
540 PARMALEE AVE,445101605,3307444369,44510
345 OAK HILL AVE,445021454,3307437853,44502
80 JESSE HILL JR SEDR,303033031,4046165800,30303
341 PONCE DE LEON NEAVE,303082012,4046162440,30308
255 E BONITA AVE,917671923,NA,91767
3 HERITAGE DR,481953000,NA,48195
32255 NORTHWESTERN HWY 160,483341538,NA,48334
22301 FOSTER WINTER DR,480753707,2485520620,48075
22301 FOSTER WINTER DR 3RD FLOOR,480753707,2488498140,48075
5190 SW 8 ST,331342476,NA,33134
11760 BIRD RD,331753582,NA,33175
2400 W VILLARD AVE,532094901,4145278191,53209
9200 W WISCONSIN AVE,532263522,4148050505,53226
840 N 87TH ST,532263586,NA,53226
1514 JEFFERSON HWY,701212429,5048423000,70121
462 GRIDER ST,142153021,7168985400,14215
462 GRIDER ST,142153021,7168984803,14215
1475 NW12TH AVE,331361002,3052434000,33136
25 NW 23RD PL,972105580,5033056262,97210
7033 NE SANDY BLVD,972135277,5033056262,97213
17437 BOONES FERRY RD,970356202,5033056262,97035
801 S CHEVY CHASE DR,912054437,3232425299,91205
1125 COLLEGE AVE,761044514,8178109810,76104
1045 W STEPHENSON ST,610324864,8155996000,61032
25200 CTR RIDGE RD,441454148,4403333904,44145
506 6TH ST,112153609,7182468600,11215
506 6TH ST,112153609,7187805130,11215
1700 CLINTON ST,494425502,2317281887,49442
1500 E SHERMAN BLVD,494441849,2316723027,49444
1 RIVERVIEW PLZ,77011864,7325302215,77011
222 E MAIN ST,376045708,4234336200,37604
325 N STATE OF FRANKLIN RD,376046062,NA,37604
45 READE PL,126013947,NA,12601
21 READE PL,126013950,8452141821,12601
1215 S MILLER ST,988013201,5096656087,98801
17 S WESTERN AVE,988559270,5094862174,98855
1100 N ST FRANCIS,672142865,3162643505,67214
2100 N WALDRON ST,675021176,6207281498,67502
3901 VANESTA DR E,665032003,7853236101,66503
80 JESSE HILL JR DR NE,303032613,4047561410,30303
2150 CORBIN AVE,60532266,8608274994,60532
415 6TH ST,835012431,2087432511,83501
9900 BELWARD CAMPUS DR,208504095,3019172191,20850
100 N ACADEMY AVE,178229800,5702716541,17822
2000 CANAL ST,701123018,5047023000,70112
200 HENRY CLAY AVE,701185720,5044121860,70118
1555 KINGSLEY,320734560,9043985614,32073
2122 UNIVERSITY BLVD S,322168937,9043985614,32216
6071 W OUTER DR,482352627,NA,48235
4801 ALBERTA AVE,799052707,9155456664,79905
350 CROSSGATES BLVD,390422601,6018248280,39042
161 RIVER OAKS DR,390465375,6018554000,39046
1030 RIVER OAKS DR,392329553,NA,39232
1030 RIVER OAKS DR,392329553,6019336132,39232
1038 RIVER OAKS DR,392329553,6019325244,39232
1040 RIVER OAKS DR,392329576,6019360706,39232
1 RICHLAND MEDICAL PARK DR,292036833,8035455350,29203
1531 ESPLANADE,959263310,5308967455,95926
742 MIDDLE CREEK RD,378625019,8654467000,37862
10201 66TH RD,113752029,NA,11375
303 N CLYDE MORRIS BLVD,321142709,NA,32114
1500 E 2ND ST,895021198,7759822400,89502
1155 MILL ST,895021576,7759824000,89502
9981 S HEALTHPARK DR,339083618,2393436800,33908
HOSPITAL SAN CRISTOBAL DE PONCE,7801207,7878482100,78012
3416 N BUFFALO DR,891297424,NA,89129
2235 MILLERSPORT HWY,140681219,7162045933,14068
2950 ELMWOOD AVE,142171304,7164476100,14217
1829 MAPLE RD,142212700,7162045933,14221
1540 MAPLE RD,142213647,7165683600,14221
5930 W PARKER RD,750936420,NA,75093
1624 S I ST,984055094,2534288700,98405
4750 E GALBRAITH RD,452366705,5136864830,45236
301 RIVERVIEW AVE,235101064,7572529010,23510
200 LOTHROP ST,152132536,NA,15213
3601 5TH AVE,152133403,NA,15213
105 RAIDER BLVD,88441528,9082810221,88441
3241 MAIN ST,66144850,2033834466,66144
1000 36TH ST,329604862,7725674311,32960
3450 11TH CT,329605012,NA,32960
5200 HARRY HINES BLVD,752357709,NA,75235
5303 HARRY HINES BLVD,753907208,NA,75390
5323 HARRY HINES BLVD,753907208,NA,75390
2300 S CONGRESS AVE,334267400,5617357531,33426
300 COMMUNITY DR,110303816,NA,11030
300 COMMUNITY DR LL,110303816,5165622229,11030
330 COMMUNITY DR,110303816,5167082550,11030
27005 76TH AVE,110401402,NA,11040
27005 76TH AVE GF,110401402,7184707501,11040
10201 66TH RD,113752029,7188304000,11375
640 FLORMANN ST,577014679,6057183300,57701
102 W CANNERY ST,544379705,7158791210,54437
1205 O DAY ST,544523416,7155390101,54452
1207 ODAY ST,544523416,7155399990,54452
4100 STATE HWY 66,544828410,7153437700,54482
220 24TH S ST,544941908,7154248600,54494
500 COMMERCE LOOP,545218038,7154790400,54521
5110 N US HWY 51,545478900,7154762345,54547
9601 TOWNLINE RD,545489099,7153581000,54548
2116 CRAIG RD,547016149,7158584500,54701
1000 STARR AVE,547031821,7153875211,54703
900 COLLEGE AVE W,548482116,7155325561,54848
906 COLLEGE AVE W,548482116,7155322300,54848
1700 W STOUT ST,548685000,7152368100,54868
611 N SAINT JOSEPH AVE,544491832,7153871713,54449
1000 N OAK AVE,544495703,7153875111,54449
6445 MAIN ST OPC,770301502,NA,77030
6445 MAIN ST,770301502,NA,77030
6565 FANNIN ST MAIN,770302703,7134410428,77030
6565 FANNIN ST,770302703,NA,77030
7575 SAN FELIPE ST,770631777,7132669955,77063
16605 SW FWY 410,774793500,2812740148,77479
16605 SOUTHWEST FWY 400 MOB3,774793500,2812750800,77479
1275 YORK AVE,100656094,2126392000,10065
98 JAMES ST,88203902,7322302828,88203
2927 KERRY FOREST PKWY,323097815,NA,32309
2024 E PINETREE BLVD H,317925391,NA,31792
2201 W HOLCOMBE BLVD,770302032,7137911020,77030
6624 FANNIN ST,770302341,7137911020,77030
153 CESAR CHAVEZ ST,551072226,6516027500,55107
1455 SAINT FRANCIS AVE,553793374,6516359173,55379
2215 PARK AVE,554043711,NA,55404
701 PARK AVE,554151623,6128733000,55415
1740 W TAYLOR ST,606127232,NA,60612
845 W WILSON AVE,606408090,3127441295,60640
5825 AIRLINE HWY,708052408,2253581000,70805
400 SAINT CHRISTOPHER DR,411017022,6068332161,41101
2001 WINCHESTER AVE,411017743,6063247351,41101
9201 W THOMAS RD,850373332,6233277313,85037
10401 W THUNDERBIRD BLVD,853513004,6238324000,85351
1212 57TH ST,531404069,4142251568,53140
820 N PLANKINTON AVE,532031802,4142251568,53203
2400 W VILLARD AVE,532094901,4145278191,53209
9200 W WISCONSIN AVE,532263522,4148050505,53226
840 N 87TH ST,532263586,NA,53226
593 EDDY ST APC,29034923,4014443565,29034
593 EDDY ST,29034923,NA,29034
593 EDDY ST,29034923,4014445445,29034
1125 N MAIN ST,29045739,4017934491,29045
19251 MACK AVE,482362898,3133437280,48236
1325 PENNSYLVANIA AVE,761042175,8178879389,76104
650 S COURTENAY PKWY,329524977,NA,32952
217 S 3RD ST,404221823,8592392360,40422
100 GREATSTONE PT,405043274,8592579800,40504
310 S LIMESTONE,405083008,NA,40508
800 ROSE ST,405360001,8593235000,40536
311 N MIDLAND AVE,109601627,8453585006,10960
160 N MIDLAND AVE,109601912,8453482886,10960
1340 CHARLES ST,611042200,NA,61104
1401 E STATE ST,611042315,8154894400,61104
2404 CHARLES ST,611081602,7796967910,61108
6824 NEWBURG RD,611084330,7796967610,61108
3775 N MULFORD RD,611145632,7796968400,61114
1705 E 19TH ST,741045410,NA,74104
1923 S UTICA AVE,741046520,9187442071,74104
7703 FLOYD CURL DR,782293901,2104509000,78229
4502 MEDICAL DR,782294402,2103584000,78229
4440 W 95TH ST,604532600,7086844393,60453
600 S PAULINA ST,606123806,3129425865,60612
5200 HARRY HINES BLVD,752357709,NA,75235
5303 HARRY HINES BLVD,753907208,NA,75390
6201 HARRY HINES BLVD,753909201,2146452400,75390
2001 W 68 ST,330161801,3058235000,33016
2923 N CALIFORNIA AVE,606187702,8882206432,60618
600 N WOLFE ST,212870005,4109555000,21287
2308 ARDEN ST,220271126,NA,22027
55 FRUIT ST,21142696,6177240287,21142
75 FRANCIS ST,21156110,6177325500,21156
1201 CREEK WAY DR APT B,774784570,8328864994,77478
685 PALM SPRINGS DR,327017853,4078305577,32701
1707 N MILLS AVE,328031851,4076473960,32803
2304 WESVILL COURT,276072973,9195711567,27607
18181 OAKWOOD BLVD,481244082,NA,48124
18101 OAKWOOD BLVD,481244089,3134362898,48124
12100 S HURON RIVER DR,481741119,7349411070,48174
9340 TELEGRAPH RD,481803362,3132953388,48180
7300 N CANTON CTR RD,481871579,7343249616,48187
1000 10TH AVE,100191147,2125236500,10019
1111 AMSTERDAM AVE,100251716,2125236500,10025
2001 PAECHTREE RD NE,303091476,4043513161,30309
35 COLLIER NWRD,303091673,4.04E+11,30309
120 WHITE HORSE PIKE,80351938,8565463900,80351
1600 HADDON AVE,81033101,NA,81033
3050 SUPERIOR DR NW,559051770,5072842511,55905
1201 S MILLER ST,988013201,5096622208,98801
1215 S MILLER ST,988013201,5096656087,98801
933 RED APPLE RD,988013370,5096556125,98801
820 N CHELAN AVE,988012028,5096638711,98801
1 HOSPITAL WAY,160014670,7242850823,16001
1720 NICHOLASVILLE RD,405031488,8592774005,40503
421 CHESTNUT ST,477131227,NA,47713
11211 WAPLES MILL RD,220307406,7032469560,22030
11211 WAPLES MILL RD,220307406,NA,22030
24440 STONE SPRINGS BLVD,201662247,5713494000,20166
100 SIMSBURY RD,60013793,8602583480,60013
80 SEYMOUR ST,61028000,8602583480,61028
100 RETREAT AVE,61062528,8602583480,61062
1015 CHESTNUT ST,191074310,2159554730,19107
9300 CAMPUS POINT DR,920371300,8586577000,92037
9350 CAMPUS POINT DR,920371300,8586577000,92037
200 W ARBOR DR,921039000,NA,92103
2100 PFINGSTEN RD,600261301,NA,60026
2180 PFINGSTEN RD 1ST FLOOR,600261301,NA,60026
777 PARK W AVE,600352433,8474328000,60035
777 PARK AVE W,600352433,NA,60035
9600 GROSS POINT RD,600761214,NA,60076
9600 GROSS POINT RD,600761214,8478643278,60076
9650 GROSS POINT RD,600761214,8478643278,60076
2650 RIDGE AVE,602011718,NA,60201
118 MONTGOMERY AVE,296011030,8642500607,29601
811 PENDLETON ST,296013232,8642500607,29601
111 BROADWAY,100061995,2122639701,10006
8635 W 3RD ST,900486101,3109671884,90048
1399 ROXBURY DR,900354709,3105779896,90035
757 WESTWOOD PLZ,900958358,3102679643,90095
13700 ST FRANCIS BLVD,231143222,8044235050,23114
600 HIGHLAND AVE,537920001,6082636400,53792
1400 S COULTER ST,791061786,8064149620,79106
1012 LUCERNE TERRACE,328061015,4074231039,32806
2740 W FOSTER AVE,606253591,7739047340,60625
80 S MAIN ST,64573648,8603586878,64573
5601 LOCH RAVEN BLVD,212392945,4434444714,21239
600 N WOLFE ST,212870005,NA,21287
600 N WOLFE ST,212870005,4105024340,21287
500 WALTER NE,871022541,5058483730,87102
127 WOODSIDE AVE,105101461,9147622276,10510
4300 ALTON RD,331402948,3056742766,33140
20 YORK ST,65103220,NA,65103
15 YORK ST,65103221,2036886445,65103
800 HOWARD AVE,65191369,2037852140,65191
9430 TURKEY LAKE RD,328198015,4073541202,32819
2 TAMPA GENERAL CIRCLE,336063603,8139742201,33606
2 TAMPA GENERAL CIR,336063603,NA,33606
2 TAMPA GENERAL CIR,336063603,8132098596,33606
12902 USF MAGNOLIA DR,336129416,NA,33612
1969 W HART RD,535112230,6083645281,53511
1735 MADISON RD,535113216,6083637510,53511
2604 SAINT MICHAEL DR,755032378,NA,75503
111 E 210TH ST,104672401,7189204321,10467
6565 S YALE AVE,741368309,9184949486,74136
27005 76TH AVE,110401402,NA,11040
10201 66TH RD,113752029,7188304000,11375
6655 TRAVIS ST,770301316,7135632772,77030
1515 HOLCOMBE BLVD,770304000,7137922121,77030
1515 HOLCOMBE BLVD HEMOPATHOLOGY,770304000,7137945446,77030
1515 HOLCOMBE BLVD CLINICAL LAB,770304000,7137926313,77030
1125 CYPRESS STATION DR,770903055,2815878777,77090
550 N MONTEREY AVE,917643318,9519296260,91764
255 E BONITA AVE,917671923,9095241940,91767
571 S FLOYD ST,402023818,5025612700,40202
55 FRUIT ST,21142696,6177240287,21142
5755 CEDAR LN,210442912,4107407890,21044
900 CATON AVE,212295201,4103686000,21229
1425 S OSPREY AVE,342392900,9413669060,34239
1 S PROSPECT ST,54013456,8028470000,54013
7200 N STATE HWY 161,750393830,2146897806,75039
1050 NW 15TH ST,334861340,5613938224,33486
2636 TIBBETS DR,760226919,8175850065,76022
2717 DEXTER AVE N,981091914,2062847012,98109
825 EASTLAKE AVE E,981094405,2062881000,98109
116 FAIRVIEW AVE N,981095360,2062541400,98109
1959 NE PACIFIC ST,981950001,2065984333,98195
3800 MONTLAKE BLVD NE,981950007,2065981534,98195
3752 MONTLAKE BLVD NE,981950010,2065981534,98195
4060 E STEVENS WAY,981954410,2066162495,98195
3409 WORTH ST,752462060,2148232533,75246
275 HWY 16 N,280373002,7047329843,28037
1021 MOREHEAD MEDICAL DR A,282042990,9804422000,28204
1000 BLYTHE BLVD,282035812,NA,28203
4539 HEDGEMORE DR,282093237,7043319669,28209
14214 BALLANTYNE LAKE RD,282773373,NA,28277
101 MANNING DR,275144220,9199666759,27514
1550 S POTOMAC,800125456,3037501800,80012
10099 RIDGEGATE PKWY,801245537,3037997372,80124
1905 CLINT MOORE RD,334962661,NA,33496
86 W UNDERWOOD ST,328061110,4078961100,32806
100 N ACADEMY AVE,178229800,5702716541,17822
503 N 21ST ST,170112204,7179724448,17011
855 N WESTHAVEN DR,549047668,9203038700,54904
701 10TH ST SE J EDWARD LUNDY PAVILLION 4TH FL,524031251,3198322328,52403
701 10TH ST SE,524031251,3193694777,52403
1520 SAN PABLO ST 1ST FLOOR N,900335310,8008722273,90033
1520 SAN PABLO ST,900335310,8008722273,90033
1520 SAN PABLO ST,900335310,8008722273,90033
1500 SAN PABLO ST,900335313,NA,90033
1516 SAN PABLO ST,900335313,8008722273,90033
1441 EASTLAKE AVE,900890112,3234422582,90089
6400 GOLDSBORO RD,208175802,3013203361,20817
505 PARNASSUS AVE,941432204,4154761000,94143
1500 HWY 15 S,413399604,6066669919,41339
200 MEDICAL CTR DR,417019466,6064396782,41701
2414 KOHLER MEMORIAL DR,530813129,9204574461,53081
1 CHILDRENS WAY,722023500,5013641100,72202
1 CHILDRENS WAY,722023571,5013641100,72202
2305 CHAMBLISS AVE NW,373113847,4234764466,37311
2253 CHAMBLISS AVE NW,373113861,NA,37311
4625 N LEE HWY,373124042,4236140777,37312
1125 CYPRESS STATION DR,770903055,2815878777,77090
1300 JEFFERSON PARK AVE,229033363,4349245125,22903
1500 21ST ST,958115216,9164433299,95811
3010 CHILDREN'S WAY,921234223,8585761700,92123
3020 CHILDRENS WAY MC,921234223,8585761700,92123
3030 CHILDRENS WAY,921234223,NA,92123
251 E HURON,606112908,NA,60611
250 E SUPERIOR STREET,606112914,3124723660,60611
676 N SAINT CLAIR,606112927,NA,60611
675 N ST CLAIR,606115975,NA,60611
325 9TH AVE,981042420,2067313000,98104
3389 G ST,953400982,NA,95340
333 MERCY AVE,953408319,2095645000,95340
4420 SHERIDAN ST A,330213552,9549620040,33021
3600 WASHINGTON ST,330218216,9549664500,33021
1501 LANSDOWNE AVE,190231333,NA,19023
501 S 54TH ST,191431900,NA,19143
3533 SOUTHERN BLVD,454291272,9375727648,45429
2525 KINGS HWY,112291705,7189276300,11229
433 MAYFAIR DR S,112346910,7182095127,11234
1555 ROCKAWAY PKWY,112364001,7189276300,11236
1660 60TH ST,502667700,5153431000,50266
1221 PLEASANT ST,503091424,NA,50309
1221 PLEASANT ST,503091426,5152414200,50309
1200 PLEASANT ST,503091453,NA,50309
700 E UNIVERSITY AVE,503162392,5152635612,50316
4480 UTICA RIDGE RD,527221644,NA,52722
410 W 10TH AVE,432101240,6142938000,43210
452 W 10TH AVE,432101240,6142933737,43210
460 W 10TH AVE,432101240,6142938619,43210
1581 DODD DR,432101257,6142933800,43210
11100 EUCLID AVE,441061716,2168441000,44106
101 3RD AVE SW,587013880,7018575650,58701
1 BURDICK EXPY W,587014406,7018575650,58701
215 E 1ST ST,601213166,8152855507,60121
44200 WOODWARD AVE,483415046,NA,48341
676 N SAINT CLAIR,606112927,NA,60611
675 N ST CLAIR,606115975,NA,60611
619 19TH ST S,352331999,2059346405,35233
3400 CIVIC CTR BLVD,191045127,2156626932,19104
13100 E 136TH ST,460379417,NA,46037
13000 E 136TH ST,460379478,3176782000,46037
1111 RONALD REAGAN PKWY,461237085,3172173500,46123
1111 N R REAGAN PKWY,461237085,3179443500,46123
1111 N RONALD REAGAN PKWY,461237085,3172172919,46123
1701 SENATE BLVD,462021239,NA,46202
1701 N SENATE BLVD,462021239,NA,46202
1701 SENATE BLVD ROOM,462021239,3179622622,46202
1633 N CAPITOL AVE,462021270,3179630953,46202
8111 S EMERSON AVE,462378601,3175285000,46237
8400 NORTHWEST BLVD,462781381,3179561000,46278
16 GUION PL,108015502,9143654065,10801
460 13TH ST,112155207,NA,11215
7070 SAMUEL MORSE DR,210463424,4103094600,21046
1221 MERCANTILE LN,207745374,3016185700,20774
3289 WOODBURN RD,220036897,7035607900,22003
46531 HARRY BYRD HWY,201643555,7038345800,20164
2605 HARLEM RD,142254018,7168933835,14225
2799 W GRAND BLVD,482022608,3138762573,48202
9055 SPRINGBROOK NWDR,554335841,7632367090,55433
15243 VANOWEN ST,914053655,8187325450,91405
1275 YORK AVE,100656094,2126392000,10065
123 SUMMER ST,16081216,5083635000,16081
1828 W LAKE AVE,77534663,7328695700,77534
2 MEDICAL CTR DR,40059400,2072838406,40059
2 MEDICAL CNTR DR,40059400,2072948410,40059
1 MEDICAL CTR DR,40059422,NA,40059
1500 21ST ST,958115216,9164433299,95811
2315 STOCKTON BLVD,958172201,NA,95817
2521 STOCKTON BLVD,958172207,NA,95817
4860 Y ST,958172307,8002823284,95817
4860 Y ST,958172307,9167343800,95817
1740 EASTCHESTER RD,104612392,7185182000,10461
1004 HOSPITAL DR,302817384,NA,30281
102 PARK PLACE BLVD,347412358,4079444900,34741
1600 SW ARCHER,326103003,NA,32610
1600 SW ARCHER RD,326103003,NA,32610
